Connecting to host 10.0.0.2, port 2222
[  7] local 10.0.0.4 port 34026 connected to 10.0.0.2 port 2222
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.31   sec   546 KBytes  3.42 Mbits/sec    0   8.48 KBytes       
[  7]   1.31-2.33   sec   382 KBytes  3.06 Mbits/sec    1   22.6 KBytes       
[  7]   2.33-3.36   sec   127 KBytes  1.02 Mbits/sec    2   21.2 KBytes       
[  7]   3.36-4.58   sec  0.00 Bytes  0.00 Mbits/sec    2   21.2 KBytes       
[  7]   4.58-5.05   sec   382 KBytes  6.73 Mbits/sec    2   21.2 KBytes       
[  7]   5.05-6.02   sec   636 KBytes  5.38 Mbits/sec    0   24.0 KBytes       
[  7]   6.02-7.04   sec   382 KBytes  3.05 Mbits/sec    0   25.5 KBytes       
[  7]   7.04-8.27   sec   891 KBytes  5.94 Mbits/sec    2   31.1 KBytes       
[  7]   8.27-9.30   sec   382 KBytes  3.05 Mbits/sec    0   31.1 KBytes       
[  7]   9.30-10.11  sec   127 KBytes  1.28 Mbits/sec    0   31.1 KBytes       
[  7]  10.11-11.14  sec   127 KBytes  1.02 Mbits/sec    0   31.1 KBytes       
[  7]  11.14-12.16  sec   127 KBytes  1.02 Mbits/sec    0   31.1 KBytes       
[  7]  12.16-13.00  sec   127 KBytes  1.24 Mbits/sec    2   31.1 KBytes       
[  7]  13.00-14.41  sec   636 KBytes  3.69 Mbits/sec    0   33.9 KBytes       
[  7]  14.41-15.23  sec   127 KBytes  1.27 Mbits/sec    0   33.9 KBytes       
[  7]  15.23-16.05  sec   255 KBytes  2.54 Mbits/sec    0   33.9 KBytes       
[  7]  16.05-17.08  sec   382 KBytes  3.06 Mbits/sec    0   33.9 KBytes       
[  7]  17.08-18.89  sec   127 KBytes  0.58 Mbits/sec    0   33.9 KBytes       
[  7]  18.89-19.90  sec   127 KBytes  1.03 Mbits/sec    0   33.9 KBytes       
[  7]  19.90-20.56  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  20.56-21.17  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  21.17-22.02  sec   255 KBytes  2.44 Mbits/sec    0   33.9 KBytes       
[  7]  22.02-23.02  sec   127 KBytes  1.05 Mbits/sec    0   33.9 KBytes       
[  7]  23.02-24.25  sec   127 KBytes  0.84 Mbits/sec    0   33.9 KBytes       
[  7]  24.25-25.06  sec   127 KBytes  1.28 Mbits/sec    0   33.9 KBytes       
[  7]  25.06-26.00  sec   382 KBytes  3.33 Mbits/sec    0   33.9 KBytes       
[  7]  26.00-27.32  sec   255 KBytes  1.59 Mbits/sec    0   33.9 KBytes       
[  7]  27.32-28.13  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  28.13-29.16  sec   318 KBytes  2.54 Mbits/sec    0   52.3 KBytes       
[  7]  29.16-30.19  sec  0.00 Bytes  0.00 Mbits/sec    1   1.41 KBytes       
[  7]  30.19-31.00  sec   191 KBytes  1.91 Mbits/sec    0   52.3 KBytes       
[  7]  31.00-32.03  sec   255 KBytes  2.04 Mbits/sec    1   55.1 KBytes       
[  7]  32.03-33.26  sec   127 KBytes  0.84 Mbits/sec    0   55.1 KBytes       
[  7]  33.26-34.08  sec  0.00 Bytes  0.00 Mbits/sec    0   55.1 KBytes       
[  7]  34.08-35.10  sec   127 KBytes  1.03 Mbits/sec    0   55.1 KBytes       
[  7]  35.10-36.12  sec  0.00 Bytes  0.00 Mbits/sec    1   55.1 KBytes       
[  7]  36.12-37.14  sec  0.00 Bytes  0.00 Mbits/sec    0   55.1 KBytes       
[  7]  37.14-38.38  sec   127 KBytes  0.85 Mbits/sec    0   38.2 KBytes       
[  7]  38.38-39.40  sec   127 KBytes  1.02 Mbits/sec    0   38.2 KBytes       
[  7]  39.40-40.42  sec  0.00 Bytes  0.00 Mbits/sec    0   38.2 KBytes       
[  7]  40.42-41.04  sec  0.00 Bytes  0.00 Mbits/sec    0   38.2 KBytes       
[  7]  41.04-42.27  sec   127 KBytes  0.84 Mbits/sec    0   38.2 KBytes       
[  7]  42.27-43.70  sec  0.00 Bytes  0.00 Mbits/sec    0   38.2 KBytes       
[  7]  43.70-44.52  sec   127 KBytes  1.27 Mbits/sec    0   38.2 KBytes       
[  7]  44.52-45.13  sec  0.00 Bytes  0.00 Mbits/sec    0   1.41 KBytes       
[  7]  45.13-46.16  sec  0.00 Bytes  0.00 Mbits/sec    0   38.2 KBytes       
[  7]  46.16-47.18  sec   127 KBytes  1.02 Mbits/sec    2   38.2 KBytes       
[  7]  47.18-48.20  sec  0.00 Bytes  0.00 Mbits/sec    0   38.2 KBytes       
[  7]  48.20-49.43  sec   127 KBytes  0.85 Mbits/sec    0   38.2 KBytes       
[  7]  49.43-50.05  sec   255 KBytes  3.38 Mbits/sec    0   38.2 KBytes       
[  7]  50.05-51.01  sec   382 KBytes  3.24 Mbits/sec    0   38.2 KBytes       
[  7]  51.01-52.31  sec   127 KBytes  0.81 Mbits/sec    0   38.2 KBytes       
[  7]  52.31-53.12  sec   127 KBytes  1.28 Mbits/sec    0   38.2 KBytes       
[  7]  53.12-54.35  sec   191 KBytes  1.27 Mbits/sec    2   38.2 KBytes       
[  7]  54.35-55.37  sec   127 KBytes  1.02 Mbits/sec    0   38.2 KBytes       
[  7]  55.37-56.20  sec  0.00 Bytes  0.00 Mbits/sec    0   38.2 KBytes       
[  7]  56.20-57.01  sec   127 KBytes  1.28 Mbits/sec    1   38.2 KBytes       
[  7]  57.01-58.03  sec  0.00 Bytes  0.00 Mbits/sec    0   38.2 KBytes       
[  7]  58.03-59.67  sec   127 KBytes  0.64 Mbits/sec    0   38.2 KBytes       
[  7]  59.67-60.49  sec  0.00 Bytes  0.00 Mbits/sec    0   38.2 KBytes       
[  7]  60.49-61.11  sec   127 KBytes  1.70 Mbits/sec    0   38.2 KBytes       
[  7]  61.11-62.01  sec   191 KBytes  1.73 Mbits/sec    2   25.5 KBytes       
[  7]  62.01-63.16  sec   636 KBytes  4.54 Mbits/sec    0   26.9 KBytes       
[  7]  63.16-64.00  sec   255 KBytes  2.47 Mbits/sec    0   26.9 KBytes       
[  7]  64.00-65.21  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  65.21-66.02  sec   127 KBytes  1.28 Mbits/sec    0   26.9 KBytes       
[  7]  66.02-67.04  sec   127 KBytes  1.02 Mbits/sec    0   26.9 KBytes       
[  7]  67.04-68.89  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  68.89-69.09  sec   127 KBytes  5.17 Mbits/sec    0   26.9 KBytes       
[  7]  69.09-70.32  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  70.32-71.15  sec   127 KBytes  1.26 Mbits/sec    0   26.9 KBytes       
[  7]  71.15-72.16  sec   127 KBytes  1.03 Mbits/sec    0   33.9 KBytes       
[  7]  72.16-73.19  sec   127 KBytes  1.02 Mbits/sec    0   33.9 KBytes       
[  7]  73.19-74.11  sec   127 KBytes  1.13 Mbits/sec    0   33.9 KBytes       
[  7]  74.11-75.03  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  75.03-76.26  sec   127 KBytes  0.85 Mbits/sec    0   33.9 KBytes       
[  7]  76.26-77.28  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  77.28-78.51  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  78.51-79.13  sec   127 KBytes  1.70 Mbits/sec    0   33.9 KBytes       
[  7]  79.13-80.56  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  80.56-81.18  sec   191 KBytes  2.54 Mbits/sec    2   33.9 KBytes       
[  7]  81.18-82.20  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  82.20-83.03  sec   127 KBytes  1.26 Mbits/sec    0   33.9 KBytes       
[  7]  83.03-84.04  sec   127 KBytes  1.02 Mbits/sec    0   33.9 KBytes       
[  7]  84.04-85.48  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  85.48-86.30  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  86.30-87.27  sec   127 KBytes  1.08 Mbits/sec    0   33.9 KBytes       
