Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 43432 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.11   sec  4.24 MBytes  32.1 Mbits/sec    0    122 KBytes       
[  7]   1.11-2.00   sec  0.00 Bytes  0.00 Mbits/sec    0    122 KBytes       
[  7]   2.00-3.00   sec  19.5 MBytes   164 Mbits/sec    0    417 KBytes       
[  7]   3.00-4.09   sec  1.74 MBytes  13.4 Mbits/sec    0    417 KBytes       
[  7]   4.09-5.11   sec  0.00 Bytes  0.00 Mbits/sec    2    417 KBytes       
[  7]   5.11-6.00   sec  13.9 MBytes   131 Mbits/sec    0    420 KBytes       
[  7]   6.00-7.00   sec  21.7 MBytes   182 Mbits/sec    0    437 KBytes       
[  7]   7.00-8.00   sec  21.0 MBytes   176 Mbits/sec    0    450 KBytes       
[  7]   8.00-9.01   sec  2.80 MBytes  23.3 Mbits/sec    0    450 KBytes       
[  7]   9.01-10.11  sec  0.00 Bytes  0.00 Mbits/sec    0    450 KBytes       
[  7]  10.11-11.11  sec  0.00 Bytes  0.00 Mbits/sec    0    450 KBytes       
[  7]  11.11-12.00  sec  0.00 Bytes  0.00 Mbits/sec    0   74.9 KBytes       
[  7]  12.00-13.11  sec   891 KBytes  6.62 Mbits/sec    1    219 KBytes       
[  7]  13.11-14.11  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
[  7]  14.11-15.11  sec  0.00 Bytes  0.00 Mbits/sec    2    219 KBytes       
[  7]  15.11-16.01  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
[  7]  16.01-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
[  7]  17.00-18.10  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
[  7]  18.10-19.04  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
[  7]  19.04-20.07  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
[  7]  20.07-21.09  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
[  7]  21.09-22.00  sec   891 KBytes  8.03 Mbits/sec    2    219 KBytes       
[  7]  22.00-23.11  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
[  7]  23.11-24.10  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
[  7]  24.10-25.11  sec  0.00 Bytes  0.00 Mbits/sec    0    219 KBytes       
