Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 34394 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec   411 KBytes  3.37 Mbits/sec    0   62.2 KBytes       
[  7]   1.00-2.54   sec   925 KBytes  4.93 Mbits/sec    0    147 KBytes       
[  7]   2.54-3.00   sec   318 KBytes  5.61 Mbits/sec    0    147 KBytes       
[  7]   3.00-4.59   sec   318 KBytes  1.64 Mbits/sec    0    157 KBytes       
[  7]   4.59-5.98   sec  0.00 Bytes  0.00 Mbits/sec    0    157 KBytes       
[  7]   6.00-7.45   sec   318 KBytes  1.80 Mbits/sec    0    157 KBytes       
[  7]   7.45-8.07   sec  0.00 Bytes  0.00 Mbits/sec    0    157 KBytes       
[  7]   8.07-9.29   sec  0.00 Bytes  0.00 Mbits/sec    0    157 KBytes       
[  7]   9.29-10.00  sec   318 KBytes  3.69 Mbits/sec    0    157 KBytes       
[  7]  10.00-11.22  sec  1.99 MBytes  13.6 Mbits/sec    0    277 KBytes       
[  7]  11.22-12.01  sec  0.00 Bytes  0.00 Mbits/sec    0    277 KBytes       
[  7]  12.01-13.19  sec  0.00 Bytes  0.00 Mbits/sec    0    277 KBytes       
[  7]  13.19-14.01  sec   573 KBytes  5.67 Mbits/sec    0    139 KBytes       
[  7]  14.01-15.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  15.00-16.26  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  16.26-17.50  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  17.50-18.10  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  18.10-19.01  sec   573 KBytes  5.18 Mbits/sec    0    139 KBytes       
[  7]  19.01-20.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  20.00-21.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  21.00-22.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  22.00-23.01  sec  1.12 MBytes  9.25 Mbits/sec    0    139 KBytes       
[  7]  23.01-24.86  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  24.86-25.00  sec   573 KBytes  33.1 Mbits/sec    0    139 KBytes       
[  7]  25.00-26.01  sec   573 KBytes  4.65 Mbits/sec    0    139 KBytes       
[  7]  26.01-27.02  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  27.02-28.13  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  28.13-29.17  sec   573 KBytes  4.54 Mbits/sec    0    139 KBytes       
[  7]  29.17-30.18  sec   573 KBytes  4.62 Mbits/sec    0    139 KBytes       
[  7]  30.18-31.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  31.00-32.00  sec   573 KBytes  4.69 Mbits/sec    0    139 KBytes       
[  7]  32.00-33.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  33.00-34.48  sec   573 KBytes  3.17 Mbits/sec    0    139 KBytes       
[  7]  34.48-35.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  35.00-36.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  36.00-37.00  sec   573 KBytes  4.70 Mbits/sec    0    139 KBytes       
[  7]  37.00-38.01  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  38.01-39.19  sec   573 KBytes  3.96 Mbits/sec    0    139 KBytes       
[  7]  39.19-40.01  sec   573 KBytes  5.75 Mbits/sec    0    139 KBytes       
[  7]  40.01-41.00  sec   573 KBytes  4.71 Mbits/sec    0    139 KBytes       
[  7]  41.00-42.01  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  42.01-43.01  sec  1.12 MBytes  9.34 Mbits/sec    0    139 KBytes       
[  7]  43.01-44.00  sec   573 KBytes  4.74 Mbits/sec    0    139 KBytes       
[  7]  44.00-45.00  sec  2.24 MBytes  18.8 Mbits/sec    0    139 KBytes       
[  7]  45.00-46.00  sec   573 KBytes  4.69 Mbits/sec    0    139 KBytes       
[  7]  46.00-47.18  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  47.18-48.20  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  48.20-49.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  49.00-50.45  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  50.45-51.00  sec  1.12 MBytes  16.9 Mbits/sec    0    139 KBytes       
[  7]  51.00-52.03  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  52.03-53.01  sec   573 KBytes  4.82 Mbits/sec    0    139 KBytes       
[  7]  53.01-54.01  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  54.01-55.00  sec   573 KBytes  4.71 Mbits/sec    0    139 KBytes       
[  7]  55.00-56.01  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  56.01-57.21  sec   636 KBytes  4.32 Mbits/sec    2    139 KBytes       
[  7]  57.21-58.03  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
[  7]  58.03-59.26  sec   573 KBytes  3.82 Mbits/sec    0   69.3 KBytes       
[  7]  59.26-60.08  sec  0.00 Bytes  0.00 Mbits/sec    2   69.3 KBytes       
[  7]  60.08-61.00  sec   573 KBytes  5.12 Mbits/sec    0   69.3 KBytes       
[  7]  61.00-62.13  sec  0.00 Bytes  0.00 Mbits/sec    0   69.3 KBytes       
[  7]  62.13-63.16  sec   573 KBytes  4.58 Mbits/sec    0   69.3 KBytes       
[  7]  63.16-64.00  sec  0.00 Bytes  0.00 Mbits/sec    0   69.3 KBytes       
[  7]  64.00-65.04  sec  0.00 Bytes  0.00 Mbits/sec    0   69.3 KBytes       
[  7]  65.04-66.01  sec   573 KBytes  4.87 Mbits/sec    0   69.3 KBytes       
[  7]  66.01-67.26  sec  0.00 Bytes  0.00 Mbits/sec    0   69.3 KBytes       
[  7]  67.26-68.08  sec   573 KBytes  5.73 Mbits/sec    2   69.3 KBytes       
[  7]  68.08-69.02  sec  0.00 Bytes  0.00 Mbits/sec    2   33.9 KBytes       
[  7]  69.02-70.13  sec   573 KBytes  4.25 Mbits/sec    2   33.9 KBytes       
[  7]  70.13-71.00  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  7]  71.00-72.17  sec   573 KBytes  4.00 Mbits/sec    0   33.9 KBytes       
[  7]  72.17-73.00  sec   573 KBytes  5.67 Mbits/sec    3   26.9 KBytes       
[  7]  73.00-74.16  sec   573 KBytes  4.06 Mbits/sec    0   26.9 KBytes       
[  7]  74.16-75.26  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  75.26-76.27  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  76.27-77.10  sec   573 KBytes  5.65 Mbits/sec    0   28.3 KBytes       
[  7]  77.10-78.10  sec   636 KBytes  5.19 Mbits/sec    0   28.3 KBytes       
[  7]  78.10-79.03  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  7]  79.03-80.00  sec   573 KBytes  4.82 Mbits/sec    8   21.2 KBytes       
[  7]  80.00-81.00  sec  1.12 MBytes  9.38 Mbits/sec    2   35.4 KBytes       
[  7]  81.00-82.21  sec   573 KBytes  3.87 Mbits/sec    0   35.4 KBytes       
[  7]  82.21-83.04  sec   573 KBytes  5.68 Mbits/sec    0   35.4 KBytes       
[  7]  83.04-84.00  sec  1.12 MBytes  9.75 Mbits/sec    0   38.2 KBytes       
[  7]  84.00-85.21  sec   573 KBytes  3.88 Mbits/sec    0   41.0 KBytes       
[  7]  85.21-86.98  sec   573 KBytes  2.64 Mbits/sec    1   42.4 KBytes       
[  7]  87.00-88.00  sec  0.00 Bytes  0.00 Mbits/sec    0   42.4 KBytes       
[  7]  88.00-89.00  sec  1.12 MBytes  9.39 Mbits/sec    3   42.4 KBytes       
[  7]  89.00-90.00  sec   573 KBytes  4.68 Mbits/sec    0   43.8 KBytes       
[  7]  90.00-91.01  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  91.01-92.04  sec   573 KBytes  4.55 Mbits/sec    0   43.8 KBytes       
[  7]  92.04-93.06  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  93.06-94.01  sec   573 KBytes  4.97 Mbits/sec    0   43.8 KBytes       
[  7]  94.01-95.06  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  95.06-96.01  sec   573 KBytes  4.94 Mbits/sec    0   43.8 KBytes       
[  7]  96.01-97.16  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  97.16-98.01  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  98.01-99.00  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  99.00-100.23 sec   573 KBytes  3.83 Mbits/sec    0   43.8 KBytes       
[  7] 100.23-101.46 sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7] 101.46-102.06 sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7] 102.06-103.10 sec   573 KBytes  4.51 Mbits/sec    0   43.8 KBytes       
[  7] 103.10-104.53 sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7] 104.53-105.01 sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7] 105.01-106.79 sec  0.00 Bytes  0.00 Mbits/sec    1   1.41 KBytes       
[  7] 106.79-107.19 sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7] 107.19-108.22 sec   573 KBytes  4.56 Mbits/sec    2   43.8 KBytes       
[  7] 108.22-109.24 sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7] 109.24-110.06 sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7] 110.06-111.49 sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7] 111.49-112.11 sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
