Connecting to host 10.0.0.2, port 2222
[  7] local 10.0.0.4 port 33850 connected to 10.0.0.2 port 2222
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.61   sec   160 KBytes  0.81 Mbits/sec    0   24.0 KBytes       
[  7]   1.61-2.02   sec   127 KBytes  2.55 Mbits/sec    0   43.8 KBytes       
[  7]   2.02-3.46   sec   103 KBytes  0.59 Mbits/sec    0   43.8 KBytes       
[  7]   3.46-4.69   sec   129 KBytes  0.86 Mbits/sec    0   43.8 KBytes       
[  7]   4.69-5.83   sec   127 KBytes  0.91 Mbits/sec    0   43.8 KBytes       
[  7]   5.83-6.53   sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]   6.53-7.14   sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]   7.14-8.37   sec   127 KBytes  0.85 Mbits/sec    0   43.8 KBytes       
[  7]   8.37-9.81   sec   573 KBytes  3.25 Mbits/sec    0    110 KBytes       
[  7]   9.81-10.42  sec   255 KBytes  3.45 Mbits/sec    0    110 KBytes       
[  7]  10.42-11.65  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  11.65-12.06  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  12.06-13.08  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  13.08-14.10  sec   255 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  7]  14.10-15.74  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  15.74-16.13  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  16.13-17.18  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  17.18-18.20  sec   255 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  7]  18.20-19.24  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  19.24-20.04  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  20.04-21.07  sec   255 KBytes  2.03 Mbits/sec    2    110 KBytes       
[  7]  21.07-22.09  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  22.09-23.74  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  23.74-24.14  sec   255 KBytes  5.20 Mbits/sec    0    110 KBytes       
[  7]  24.14-25.00  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  7]  25.00-26.02  sec   509 KBytes  4.12 Mbits/sec    0    110 KBytes       
[  7]  26.02-27.00  sec   255 KBytes  2.11 Mbits/sec    6   55.1 KBytes       
[  7]  27.00-28.03  sec  0.00 Bytes  0.00 Mbits/sec    0   55.1 KBytes       
