Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 50112 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec  11.2 MBytes  93.5 Mbits/sec    0    754 KBytes       
[  7]   1.00-2.00   sec  15.0 MBytes   126 Mbits/sec    0    817 KBytes       
[  7]   2.00-3.00   sec  22.5 MBytes   189 Mbits/sec    0    945 KBytes       
[  7]   3.00-4.00   sec  23.8 MBytes   199 Mbits/sec    0    945 KBytes       
[  7]   4.00-5.09   sec  8.75 MBytes  67.2 Mbits/sec    0    945 KBytes       
[  7]   5.09-6.32   sec  1.25 MBytes  8.53 Mbits/sec    0    472 KBytes       
[  7]   6.32-7.55   sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]   7.55-8.36   sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]   8.36-9.18   sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]   9.18-10.01  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  10.01-11.35  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  11.35-12.36  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  12.36-13.08  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  13.08-14.30  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  14.30-15.36  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  15.36-16.35  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  16.35-17.36  sec  1.25 MBytes  10.4 Mbits/sec    0    472 KBytes       
[  7]  17.36-18.36  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  18.36-19.02  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  19.02-20.04  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  20.04-21.35  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  21.35-22.36  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  22.36-23.11  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  23.11-24.36  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  24.36-25.35  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  25.35-26.16  sec  0.00 Bytes  0.00 bits/sec    0    472 KBytes       
[  7]  26.16-27.37  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  27.37-28.03  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  28.03-29.36  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  29.36-30.08  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  30.08-31.36  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  31.36-32.33  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  32.33-33.16  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
