Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 34578 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.74   sec   839 KBytes  3.96 Mbits/sec    0    106 KBytes       
[  7]   1.74-2.17   sec   255 KBytes  4.84 Mbits/sec    0    116 KBytes       
[  7]   2.17-3.20   sec   318 KBytes  2.53 Mbits/sec    2    124 KBytes       
[  7]   3.20-4.22   sec   318 KBytes  2.55 Mbits/sec    0    136 KBytes       
[  7]   4.22-5.00   sec  1.62 MBytes  17.3 Mbits/sec    2    389 KBytes       
[  7]   5.00-6.27   sec   827 KBytes  5.35 Mbits/sec    0    389 KBytes       
[  7]   6.27-7.29   sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]   7.29-8.32   sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]   8.32-9.14   sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]   9.14-10.17  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  10.17-11.19  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  11.19-12.62  sec   764 KBytes  4.38 Mbits/sec    0    389 KBytes       
[  7]  12.62-13.73  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  13.73-14.26  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  14.26-15.69  sec  0.00 Bytes  0.00 Mbits/sec    2    389 KBytes       
[  7]  15.69-16.72  sec   827 KBytes  6.62 Mbits/sec    1    389 KBytes       
[  7]  16.72-17.74  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  17.74-18.36  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  18.36-19.17  sec   827 KBytes  8.32 Mbits/sec    0    389 KBytes       
[  7]  19.17-20.40  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  20.40-21.00  sec   827 KBytes  11.3 Mbits/sec    0    389 KBytes       
[  7]  21.00-22.04  sec   827 KBytes  6.53 Mbits/sec    0    389 KBytes       
[  7]  22.04-23.07  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  23.07-24.09  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  24.09-25.12  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  25.12-26.14  sec  0.00 Bytes  0.00 Mbits/sec    0    389 KBytes       
[  7]  26.14-27.16  sec   827 KBytes  6.62 Mbits/sec    0   8.48 KBytes       
[  7]  27.16-28.18  sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  7]  28.18-29.21  sec  0.00 Bytes  0.00 Mbits/sec    0   19.8 KBytes       
[  7]  29.21-30.03  sec  0.00 Bytes  0.00 Mbits/sec    0   21.2 KBytes       
[  7]  30.03-31.05  sec  0.00 Bytes  0.00 Mbits/sec    0   21.2 KBytes       
[  7]  31.05-32.07  sec  0.00 Bytes  0.00 Mbits/sec    0   21.2 KBytes       
[  7]  32.07-33.30  sec  0.00 Bytes  0.00 Mbits/sec    0   22.6 KBytes       
