Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 34232 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.02   sec  1024 KBytes  8.22 Mbits/sec    3    130 KBytes       
[  7]   1.02-2.01   sec  0.00 Bytes  0.00 Mbits/sec    0    130 KBytes       
[  7]   2.01-3.01   sec   700 KBytes  5.77 Mbits/sec    4    173 KBytes       
[  7]   3.01-4.01   sec  0.00 Bytes  0.00 Mbits/sec    0    173 KBytes       
[  7]   4.01-5.00   sec  0.00 Bytes  0.00 Mbits/sec    0    173 KBytes       
[  7]   5.00-6.01   sec   382 KBytes  3.12 Mbits/sec    0    173 KBytes       
[  7]   6.01-7.00   sec  0.00 Bytes  0.00 Mbits/sec    0    173 KBytes       
[  7]   7.00-8.01   sec  3.85 MBytes  32.2 Mbits/sec    0    547 KBytes       
[  7]   8.01-9.00   sec  1.12 MBytes  9.42 Mbits/sec    0    547 KBytes       
[  7]   9.00-10.01  sec  0.00 Bytes  0.00 Mbits/sec    0    547 KBytes       
[  7]  10.01-11.03  sec  0.00 Bytes  0.00 Mbits/sec    0    547 KBytes       
[  7]  11.03-12.01  sec  0.00 Bytes  0.00 Mbits/sec    0    547 KBytes       
[  7]  12.01-13.01  sec  1.12 MBytes  9.37 Mbits/sec    0    547 KBytes       
[  7]  13.01-14.00  sec  0.00 Bytes  0.00 Mbits/sec    0    547 KBytes       
[  7]  14.00-15.00  sec  2.37 MBytes  19.9 Mbits/sec    0    652 KBytes       
[  7]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  16.00-17.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  17.01-18.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  19.00-20.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  20.01-21.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  22.00-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  23.00-24.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  25.00-26.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  26.00-27.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  27.01-28.00  sec  1.25 MBytes  10.6 Mbits/sec    0    652 KBytes       
[  7]  28.00-29.01  sec  1.25 MBytes  10.4 Mbits/sec    0    652 KBytes       
[  7]  29.01-30.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  31.00-32.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  32.01-33.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  33.01-34.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  34.00-35.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  35.00-36.01  sec  1.25 MBytes  10.4 Mbits/sec    0    652 KBytes       
[  7]  36.01-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  37.00-38.01  sec  0.00 Bytes  0.00 Mbits/sec    1    652 KBytes       
[  7]  38.01-39.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  39.00-40.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec    0    652 KBytes       
[  7]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  43.00-44.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  45.00-46.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  46.00-47.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  47.00-48.30  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  48.30-49.94  sec  1.25 MBytes  6.41 Mbits/sec    0    652 KBytes       
[  7]  50.00-51.16  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  51.16-52.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  52.00-53.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  53.00-54.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  54.00-55.06  sec  1.25 MBytes  9.89 Mbits/sec    0    652 KBytes       
