Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 49050 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.01   sec  19.0 MBytes   158 Mbits/sec   25    806 KBytes       
[  7]   1.01-2.00   sec  12.5 MBytes   106 Mbits/sec    0    933 KBytes       
[  7]   2.00-3.00   sec  15.0 MBytes   126 Mbits/sec    0    933 KBytes       
[  7]   3.00-4.00   sec  13.8 MBytes   115 Mbits/sec    0    933 KBytes       
[  7]   4.00-5.02   sec  10.0 MBytes  82.3 Mbits/sec    0    933 KBytes       
[  7]   5.02-6.00   sec  17.5 MBytes   149 Mbits/sec    0    933 KBytes       
[  7]   6.00-7.00   sec  22.5 MBytes   189 Mbits/sec    0    933 KBytes       
[  7]   7.00-8.00   sec  21.2 MBytes   178 Mbits/sec    0    933 KBytes       
[  7]   8.00-9.00   sec  18.8 MBytes   158 Mbits/sec    0   1.04 MBytes       
[  7]   9.00-10.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  10.00-11.00  sec  22.5 MBytes   189 Mbits/sec    0   1.04 MBytes       
[  7]  11.00-12.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  12.00-13.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  13.00-14.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  14.00-15.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  15.00-16.00  sec  22.5 MBytes   189 Mbits/sec    0   1.04 MBytes       
[  7]  16.00-17.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  17.00-18.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  18.00-19.00  sec  22.5 MBytes   189 Mbits/sec    0   1.04 MBytes       
[  7]  19.00-20.00  sec  11.2 MBytes  94.2 Mbits/sec    0   1.04 MBytes       
[  7]  20.00-21.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  21.00-22.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  22.00-23.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  23.00-24.00  sec  22.5 MBytes   189 Mbits/sec    0   1.04 MBytes       
[  7]  24.00-25.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
[  7]  25.00-26.00  sec  22.5 MBytes   189 Mbits/sec    0   1.04 MBytes       
[  7]  26.00-27.00  sec  21.2 MBytes   178 Mbits/sec    0   1.04 MBytes       
