Connecting to host 10.0.0.2, port 2222
[  7] local 10.0.0.4 port 47740 connected to 10.0.0.2 port 2222
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.18   sec   332 KBytes  2.31 Mbits/sec    0   33.9 KBytes       
[  7]   1.18-2.20   sec   127 KBytes  1.02 Mbits/sec    0   36.8 KBytes       
[  7]   2.20-3.02   sec  1.06 MBytes  10.9 Mbits/sec    0    223 KBytes       
[  7]   3.02-4.05   sec   445 KBytes  3.55 Mbits/sec    0    223 KBytes       
[  7]   4.05-5.07   sec  2.73 MBytes  22.3 Mbits/sec    2    395 KBytes       
[  7]   5.07-6.09   sec  3.73 MBytes  30.6 Mbits/sec    0    526 KBytes       
[  7]   6.09-7.00   sec  1.06 MBytes  9.76 Mbits/sec    0   15.6 KBytes       
[  7]   7.00-8.15   sec  0.00 Bytes  0.00 Mbits/sec    0   29.7 KBytes       
[  7]   8.15-9.15   sec  1.06 MBytes  8.83 Mbits/sec    5   31.1 KBytes       
[  7]   9.15-10.19  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  10.19-11.01  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  11.01-12.24  sec  1.06 MBytes  7.21 Mbits/sec    0   32.5 KBytes       
[  7]  12.24-13.23  sec  0.00 Bytes  0.00 Mbits/sec    0   35.4 KBytes       
[  7]  13.23-14.24  sec  0.00 Bytes  0.00 Mbits/sec    0   35.4 KBytes       
[  7]  14.24-15.11  sec  1.06 MBytes  10.1 Mbits/sec    0   39.6 KBytes       
[  7]  15.11-16.13  sec  0.00 Bytes  0.00 Mbits/sec    0   39.6 KBytes       
[  7]  16.13-17.16  sec  0.00 Bytes  0.00 Mbits/sec    0   39.6 KBytes       
[  7]  17.16-18.23  sec  0.00 Bytes  0.00 Mbits/sec    0   39.6 KBytes       
[  7]  18.23-19.21  sec  1.06 MBytes  9.07 Mbits/sec    0   39.6 KBytes       
[  7]  19.21-20.02  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  20.02-21.23  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  21.23-22.02  sec  1.06 MBytes  11.3 Mbits/sec    0   43.8 KBytes       
[  7]  22.02-23.23  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  23.23-24.23  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  24.23-25.00  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  25.00-26.01  sec  1.06 MBytes  8.81 Mbits/sec    0   43.8 KBytes       
[  7]  26.01-27.00  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  27.00-28.00  sec  1.06 MBytes  8.86 Mbits/sec    0   43.8 KBytes       
[  7]  28.00-29.00  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  7]  29.00-30.06  sec  0.00 Bytes  0.00 Mbits/sec    0   45.2 KBytes       
[  7]  30.06-31.00  sec  1.06 MBytes  9.42 Mbits/sec    0   45.2 KBytes       
[  7]  31.00-32.11  sec  0.00 Bytes  0.00 Mbits/sec    0   45.2 KBytes       
[  7]  32.11-33.14  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  33.14-34.16  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  34.16-35.03  sec  1.06 MBytes  10.1 Mbits/sec    1   46.7 KBytes       
[  7]  35.03-36.00  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  36.00-37.02  sec  1.06 MBytes  8.67 Mbits/sec    0   46.7 KBytes       
[  7]  37.02-38.01  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  38.01-39.23  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  39.23-40.23  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  40.23-41.24  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  41.24-42.23  sec  1.06 MBytes  8.86 Mbits/sec    0   46.7 KBytes       
[  7]  42.23-43.23  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  43.23-44.00  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  44.00-45.23  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  45.23-46.04  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  46.04-47.02  sec  1.06 MBytes  8.97 Mbits/sec    0   46.7 KBytes       
[  7]  47.02-48.23  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  48.23-49.11  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  49.11-50.14  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
